6.0.1|Nexus 5X
12|SM-G780F
11|SM-A105M
11|SM-A107M
12|SM-G770F
10|SM-A217F
10|Redmi Note 9 Pro
11|SM-A022M
10|moto g(7) play
11|Redmi Note 8 Pro
12|SM-G991B
8.1.0|Moto G (5) Plus
9|motorola one
10|Armor 9
9|Redmi 6A
9|FIG-LX1
10|moto e(7) power
10|LM-Q630
12|SM-G780G
8.1.0|SM-G610M
11|SM-A125F
11|SM-A022M
10|SM-A105M
9|ANE-LX3
9|moto e6s
10|motorola one macro
10|Lenovo K13
9|moto e6 play
11|SM-A226BR
9|ASUS_X01BDA
12|SM-G990E
11|RMX2001
10|SM-A107M
10|fa-ir|POCO M3
12|SM-A715F
10|moto e(7)
10|SM-T510
12|SM-A217M
10|moto g(8) play
10|Redmi Note 8
7.1.1|F8331
11|SM-A505GT
11|Gplus X10
12|SO-51B
6.0|M1 E
11|21061119DG
12|RMX2170
5.0|en-US|Enjoy 20 Plus
12|CPH2371
10|SM-A315G
11|SM-A405FN
6.0.1|SM-G532M
8.0.0|SM-A520F
11|TFY-LX1
7.1|F600
10|SM-A515F
10|VOG-L29
11|motorola one action
12|SM-A528B
10|moto e(7)
10|M2006C3MG
10|it-it|Redmi 9C
9|en-gb|Redmi Note 8
11|RMX2170
10|DRA-LX9
11|SM-A202F
12|SM-G780F
7.1.2|M15
11|BL8800Pro
12|NTH-NX9
12|CPH2333
12|RMX2202
10|STK-LX1
11|F-02L
8.1.0|View2 Plus
12|SM-A715F
10|YAL-L21
8.1.0|DRA-L01
8.1.0|Polar3
11|M2102J20SG
11|A50
10|SM-G965F
12|CPH2197
11|SM-A405FN
9|JSN-L21
10|SM-A415F
12|SM-X706B
10|STK-L21
6.0.1|SM-G532MT
8.0.0|SM-G935F
9|SM-J530G
9|POT-LX1
9|moto g(6) plus
12|it-it|Redmi Note 10
8.0.0|BAH2-W19
10|Redmi 8A Dual
8.1.0|SM-T585
10|SM-A013M
9|MRD-LX1
12|SM-A715F
8.0.0|SM-G935F
9|JAT-L41
9|ZTE Blade A5 2019
12|SM-G780F
11|SM-A515F
12|2206122SC
11|SM-A217F
12|RMX3242
11|RMP2103
6.0|LG-X230
8.1.0|Moto G (5S) Plus
9|SM-N950F
10|M2006C3LVG
12|SM-A125M
13|Pixel 6
12|SM-M215F
10|V1932A
11|SM-A505FN
7.1.2|vivo X9
6.0.1|OPPO A57
4.4.4|MI NOTE LTE
8.0.0|zh-CN|MIX 2
7.0|STF-AL00
4.4.1|Lenovo A5500-H
5.0.2|zh-CN|Redmi Note 2
9|fr-fr|Redmi Note 7
8.0.0|SM-J810F
8.1.0|ONEPLUS A5000
9|ZTE Blade A3 2019RU
8.0.0|AUM-L41
4.4.4|MI 4W
9|Redmi Note 7
8.1.0|PMT5588_4G
8.0.0|SM-J330F
9|SM-A307FN
8.1.0|GL355
9|SM-G955F
8.1.0|Redmi Note 5
8.1.0|SM-J410G
6.0|RP8601K
4.2.2|SM-T111M
8.0.0|PIC-LX9
7.0|BQru-5059
9|SM-J701F
8.1.0|5059A
8.1.0|Nomi_C070044
5.0.1|Archos 70 Platinum v3
7.0|SM-G920F
4.4.2|HTC Desire 626G dual sim
4.4.4|SM-T116NU
4.2|Nexus 4
5.1|ExciteC
9|TA-1032
7.0|NEM-L51
7.0|INTEX AQUA LIONS E3
8.0.0|SM-A520F
4.2.2|ar-ae|GT-I9060
9|POCOPHONE F1
9|Mi A2 Lite
5.1|Aura_Power
7.0|MI MAX
9|Redmi Note 5
6.0|Redmi Note 4X
9|Mi A2 Lite
6.0.1|Redmi 4
6.0.1|Redmi 3S
6.0|Nexus 5
8.0.0|LLD-AL20
9|CLT-L29
9|Redmi Note 5
9|SM-A730F
6.0.1|SM-G532F
7.1.2|Redmi 4X
9|SM-A105F
8.1.0|5033D_RU
7.0|Redmi Note 4
9|Neffos X20
5.0.1|Lenovo TAB 2 A10-70L
9|JSN-L21
9|STF-L09
9|SM-J610FN
7.1.1|MI MAX 2
9|SM-A600FN
5.1.1|SM-G531H
7.0|F3113
8.1.0|LM-X210CM
8.1.0|SM-J415F
9|vivo 1901
7.0|FRD-L09
9|SM-G950F
8.0.0|SM-A520F
7.0|SM-A710F
4.4.4|SM-J110G
4.4.2|LenovoA3300-HV
7.0|TECNO Camon CX
7.0|WAS-LX1
6.0|es-us|5010G
9|SM-T380
7.0|LG-TP450
7.0|SM-G920F
9|Redmi Note 5 Pro
6.0.1|ASUS_Z010D
9|vivo 1951
6.0.1|SM-G532F
8.1.0|CPH1909
8.0.0|SM-G950U
5.1.1|SAMSUNG SM-N920C
8.0|MI 6
7.0|zh-cn|HUAWEI NXT-AL10
5.1.1|OPPO R9 Plusm A
7.1.2|zh-cn|M6 Note
6.0.1|zh-cn|HUAWEI RIO-AL00
6.0|M5 Note
5.1.1|vivo V3Max A
6.0|zh-cn|Redmi Pro
6.0.1|OPPO A57
6.0|HUAWEI MLA-AL10
7.0|PRA-AL00
8.0|STF-AL00
7.1.2|vivo X9
5.1|zh-CN|vivo X6Plus D
5.1|zh-cn|OPPO R9m
5.1.1|SM-J320F
9|Redmi Note 7
5.0.2|SAMSUNG SM-T700
8.1.0|QMobile i8i 2019
8.1.0|Redmi 6A
6.0|HUAWEI MT7-TL10
7.0|KNT-AL10
7.1.1|zh-cn|OD105
6.0.1|MIX
6.0.1|zh-cn|MI 5
5.1|zh-CN|OPPO A59s
5.0|zh-cn|vivo X5Pro D
6.0.1|MI 5
8.0|ALP-AL00
7.0|VIE-AL10
6.0|PLK-CL00
7.1.1|zh-CN|vivo X9s
8.1|PAAM00
6.0|NEM-AL10
6.0.1|vivo X9
6.0|zh-CN|HUAWEI MLA-AL10
4.4.4|3007
8.0.0|zh-cn|MIX 2
7.1.1|SM-N9500
7.0|zh-CN|SM-G9550
6.0.1|zh-cn|SM-C5000
7.1.1|zh-CN|OPPO R11s
7.1.1|MI 6
6.0.1|zh-cn|vivo Xplay6
7.0|zh-CN|MHA-AL00
5.1|zh-cn|OPPO A59m
6.0.1|zh-cn|Redmi Note 3
8.1.0|BQ-5519L
9|Redmi 7A
4.1.2|HTC Desire 600 dual sim
8.1.0|DUA-L22
7.0|en-US|Redmi Note 4
9|ANE-LX1
8.0.0|AUM-L41
8.0.0|SM-A720F
7.1.2|Redmi 5
8.0.0|Moto Z2 Play
7.0|SAMSUNG SM-G390F
6.0.1|HG680-P
5.1.1|SM-J105H
8.1.0|Lenovo L38043
8.1.0|en-US|CPH1803
9|SAMSUNG SM-A107F
8.1.0|Redmi 5 Plus
8.1.0|SNE-LX1
6.0|MYA-U29
5.1|Philips_S326
4.4.2|T1-701u
7.1.2|Redmi Note 5A
8.1.0|Redmi 5
8.1.0|S290
4.1.2|MediaPad 10 LINK
6.0|M3 Max
9|SAMSUNG SM-T385
7.1.1|SM-J510H
7.1.2|Redmi 4X
8.1.0|Redmi 6A
8.1.0|BKK-AL10
7.1.1|GIONEE F205
8.1.0|CPH1803
4.1.2|LG-E455
4.4.4|XT1030
9|SM-G950F
9|Redmi Note 5
9|SM-A305FN
8.1.0|SM-J710F
8.1.0|BKK-L21
8.1.0|vivo 1812
9|MI 8 Lite
8.1.0|Redmi Note 4x
8.0.0|WAS-LX1
5.0.2|SM-T530
9|YAL-L21
